Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
01004;AMBERIEU EN BUGEY;01500;;AMBERIEU EN BUGEY;45.961048852, 5.372275427
01025;BAGE DOMMARTIN;01380;BAGE LA VILLE;BAGE DOMMARTIN;46.327468413, 4.966993244
01029;BEAUPONT;01270;;BEAUPONT;46.428649695, 5.260337095
01033;VALSERHONE;01200;CHATILLON EN MICHAILLE;VALSERHONE;46.124111549, 5.796482369
01033;VALSERHONE;01200;OCHIAZ;VALSERHONE;46.124111549, 5.796482369
01033;VALSERHONE;01200;VOUVRAY;VALSERHONE;46.124111549, 5.796482369
01043;BEYNOST;01700;;BEYNOST;45.839476518, 4.99743421
01045;BIRIEUX;01330;;BIRIEUX;45.953187919, 5.037212561
01053;BOURG EN BRESSE;01000;BROU;BOURG EN BRESSE;46.205013838, 5.245593605
01056;BOYEUX ST JEROME;01640;;BOYEUX ST JEROME;46.036053911, 5.463119438
01071;CESSY;01170;;CESSY;46.316089437, 6.078030245
01072;CEYZERIAT;01250;;CEYZERIAT;46.183403875, 5.319678283
01073;CEYZERIEU;01350;;CEYZERIEU;45.833507381, 5.719105551
01079;CHAMPAGNE EN VALROMEY;01260;;CHAMPAGNE EN VALROMEY;45.93196511, 5.693133119
01079;CHAMPAGNE EN VALROMEY;01260;PASSIN;CHAMPAGNE EN VALROMEY;45.93196511, 5.693133119
01088;CHARNOZ SUR AIN;01800;;CHARNOZ SUR AIN;45.874182776, 5.221971236
01093;CHATILLON SUR CHALARONNE;01400;;CHATILLON SUR CHALARONNE;46.122927177, 4.957950327
01096;CHAVEYRIAT;01660;;CHAVEYRIAT;46.199364763, 5.056028558
01100;CHEIGNIEU LA BALME;01510;;CHEIGNIEU LA BALME;45.822895805, 5.604830013
01104;CHEZERY FORENS;01200;;CHEZERY FORENS;46.222560403, 5.872426209
01105;CIVRIEUX;01390;;CIVRIEUX;45.922942274, 4.88661781
01106;CIZE;01250;;CIZE;46.200571572, 5.450819845
01107;CLEYZIEU;01230;;CLEYZIEU;45.902697686, 5.432785798
01108;COLIGNY;01270;;COLIGNY;46.386677691, 5.330424959
01114;CONFORT;01200;;CONFORT;46.154319846, 5.832712881
01115;CONFRANCON;01310;;CONFRANCON;46.270495708, 5.057684099
01118;CORBONOD;01420;;CORBONOD;45.966152692, 5.789641772
01121;CORLIER;01110;;CORLIER;46.033238796, 5.49675279
01127;COURMANGOUX;01370;;COURMANGOUX;46.326589431, 5.355779855
01135;CROZET;01170;;CROZET;46.291682935, 5.995342333
01136;CRUZILLES LES MEPILLAT;01290;;CRUZILLES LES MEPILLAT;46.221287172, 4.875091409
01165;FRANCHELEINS;01090;;FRANCHELEINS;46.073642487, 4.812560271
01167;GARNERANS;01140;;GARNERANS;46.21348428, 4.828906909
01170;BEARD GEOVREISSIAT;01460;;BEARD GEOVREISSIAT;46.189954141, 5.551650441
01173;GEX;01170;;GEX;46.347299128, 6.046241081
01174;GIRON;01130;;GIRON;46.223710673, 5.780900995
01180;GRILLY;01220;;GRILLY;46.331834436, 6.113479251
01183;GUEREINS;01090;;GUEREINS;46.106683459, 4.782509441
01185;PLATEAU D HAUTEVILLE;01110;HAUTEVILLE LOMPNES;PLATEAU D HAUTEVILLE;45.939605942, 5.583780117
01199;JUJURIEUX;01640;;JUJURIEUX;46.049910068, 5.410944213
01207;LAPEYROUSE;01330;;LAPEYROUSE;45.985680859, 4.98170543
01224;LOYETTES;01360;;LOYETTES;45.792262182, 5.217785116
01228;MAILLAT;01430;;MAILLAT;46.120131816, 5.528443347
01229;MALAFRETAZ;01340;;MALAFRETAZ;46.328995834, 5.143009412
01234;MARIGNIEU;01300;;MARIGNIEU;45.801447694, 5.715805868
01238;MASSIEUX;01600;;MASSIEUX;45.909282243, 4.826875301
01240;MATAFELON GRANGES;01580;;MATAFELON GRANGES;46.256460485, 5.539445096
01240;MATAFELON GRANGES;01580;GRANGES;MATAFELON GRANGES;46.256460485, 5.539445096
01245;BOHAS MEYRIAT RIGNAT;01250;BOHAS;BOHAS MEYRIAT RIGNAT;46.14240142, 5.378302588
01245;BOHAS MEYRIAT RIGNAT;01250;RIGNAT;BOHAS MEYRIAT RIGNAT;46.14240142, 5.378302588
01248;MIONNAY;01390;;MIONNAY;45.895925975, 4.924322242
01249;MIRIBEL;01700;;MIRIBEL;45.844720633, 4.940785036
01249;MIRIBEL;01700;LE MAS RILLIER;MIRIBEL;45.844720633, 4.940785036
01257;MONTANGES;01200;;MONTANGES;46.17325992, 5.790043812
01258;MONTCEAUX;01090;;MONTCEAUX;46.096201232, 4.80371646
01261;MONTHIEUX;01390;;MONTHIEUX;45.962496016, 4.945779866
01262;MONTLUEL;01120;JAILLEUX;MONTLUEL;45.88696826, 5.006439066
01264;MONTRACOL;01310;;MONTRACOL;46.186589896, 5.117246219
01272;NEUVILLE LES DAMES;01400;;NEUVILLE LES DAMES;46.15673792, 5.009153993
01276;NIEVROZ;01120;;NIEVROZ;45.822376041, 5.059412772
01277;NIVOLLET MONTGRIFFON;01230;;NIVOLLET MONTGRIFFON;45.999773507, 5.458408258
01284;OZAN;01190;;OZAN;46.387267599, 4.917717963
01286;PARVES ET NATTAGES;01300;PARVES;PARVES ET NATTAGES;45.731042721, 5.74554129
01291;PERREX;01540;;PERREX;46.246600639, 4.974132197
01305;PONT DE VAUX;01190;;PONT DE VAUX;46.442474679, 4.928762619
01308;POUGNY;01550;;POUGNY;46.144939074, 5.950219547
01313;PREVESSIN MOENS;01280;MOENS;PREVESSIN MOENS;46.258394588, 6.072289047
01319;RELEVANT;01990;;RELEVANT;46.083987278, 4.941538392
01322;REYRIEUX;01600;;REYRIEUX;45.936961491, 4.828653591
01328;ROMANS;01400;;ROMANS;46.123828349, 5.02137821
01330;RUFFIEU;01260;;RUFFIEU;46.004168068, 5.653050149
01335;ST ANDRE LE BOUCHOUX;01240;;ST ANDRE LE BOUCHOUX;46.113278406, 5.079827089
01339;ST BERNARD;01600;;ST BERNARD;45.949160246, 4.741402311
01349;ST ELOI;01800;;ST ELOI;45.933000622, 5.151304829
01351;ST ETIENNE SUR CHALARONNE;01140;;ST ETIENNE SUR CHALARONNE;46.146898864, 4.867333819
01360;ST JEAN DE GONVILLE;01630;;ST JEAN DE GONVILLE;46.217861937, 5.941584733
01364;ST JEAN SUR REYSSOUZE;01560;;ST JEAN SUR REYSSOUZE;46.397230407, 5.063110246
01366;STE JULIE;01150;;STE JULIE;45.881929237, 5.284256844
01371;ST MARCEL;01390;;ST MARCEL;45.948490368, 4.989610452
01372;ST MARTIN DE BAVEL;01510;;ST MARTIN DE BAVEL;45.848154791, 5.679072745
01393;SANDRANS;01400;;SANDRANS;46.065529744, 4.982157044
01401;SERGY;01630;;SERGY;46.263126375, 5.988920778
01402;SERMOYER;01190;;SERMOYER;46.498451286, 4.977943541
01403;SERRIERES DE BRIORD;01470;;SERRIERES DE BRIORD;45.813182663, 5.441558147
01405;SERVAS;01960;;SERVAS;46.139240323, 5.179306262
01408;SIMANDRE SUR SURAN;01250;;SIMANDRE SUR SURAN;46.233965118, 5.422597476
01411;SOUCLIN;01150;;SOUCLIN;45.878018555, 5.430669842
