Code service sages|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|03/01/2022|Vente|55000,00|13||RUE|2280|DE LA LIBERTE|1000|BOURG-EN-BRESSE|01|53||AM|102||7|24,10|||||||||1|2|Appartement||24|1|||
|||||||000001|03/01/2022|Vente|143000,00||||B010|CHAMP COCHET|1480|SAVIGNEUX|01|398||ZE|184||||||||||||0||||||S||84
|||||||000001|03/01/2022|Vente|143000,00||||B010|CHAMP COCHET|1480|SAVIGNEUX|01|398||ZE|185||||||||||||0||||||S||88
|||||||000001|03/01/2022|Vente|143000,00|98||RTE|0055|DE LA DOMBES|1480|SAVIGNEUX|01|398||ZE|187||1|123,23|||||||||1|2|Appartement||140|3|||
|||||||000001|04/01/2022|Vente|300,00||||B031|AUX PIERRES|1480|MESSIMY SUR SAONE|01|243||A|643||||||||||||0||||||T||510
|||||||000001|06/01/2022|Vente|255000,00|282||RTE|0130|DE POISATON|1560|MANTENAY-MONTLIN|01|230||ZM|124||||||||||||0|1|Maison||108|5|S||649
|||||||000001|06/01/2022|Vente|255000,00||||B047|LA FREGONIERE|1560|MANTENAY-MONTLIN|01|230||ZM|126||||||||||||0||||||S||360
|||||||000001|03/01/2022|Vente|525000,00|||PL|0300|DE LA CROIX BLANCHE|1390|SAINT-ANDRE-DE-CORCY|01|333||AN|23||||||||||||0||||||S||50
|||||||000001|03/01/2022|Vente|525000,00|217||PL|0300|DE LA CROIX BLANCHE|1390|SAINT-ANDRE-DE-CORCY|01|333||AN|186||||||||||||0|2|Appartement||126|4|S||628
|||||||000001|03/01/2022|Vente|525000,00|217||PL|0300|DE LA CROIX BLANCHE|1390|SAINT-ANDRE-DE-CORCY|01|333||AN|186||||||||||||0|4|Local industriel. commercial ou assimilé||424|0|S||628
|||||||000001|05/01/2022|Vente|254200,00||||B036|MAS ROLLAND|1700|SAINT-MAURICE-DE-BEYNOST|01|376||AC|589||||||||||||0||||||AB||784
|||||||000001|05/01/2022|Vente|64000,00|12||BD|0620|DE BROU|1000|BOURG-EN-BRESSE|01|53||BC|223||7|39,05|||||||||1|2|Appartement||117|2|||
|||||||000001|05/01/2022|Vente|64000,00|12||BD|0620|DE BROU|1000|BOURG-EN-BRESSE|01|53||BC|223||7|39,05|||||||||1|3|Dépendance||0|0|||
|||||||000001|03/01/2022|Vente|140000,00|6||RUE|0397|DE BEAUGENCY|1000|BOURG-EN-BRESSE|01|53||BZ|175||||||||||||0|1|Maison||100|4|S||796
|||||||000001|03/01/2022|Vente|140000,00|||RUE|0397|DE BEAUGENCY|1000|BOURG-EN-BRESSE|01|53||BZ|223||||||||||||0||||||AG|IMM|260
|||||||000001|03/01/2022|Vente|140000,00|||RUE|0397|DE BEAUGENCY|1000|BOURG-EN-BRESSE|01|53||BZ|224||||||||||||0||||||AG|IMM|590
|||||||000001|03/01/2022|Vente|140000,00|||RUE|0397|DE BEAUGENCY|1000|BOURG-EN-BRESSE|01|53||BZ|241||||||||||||0||||||AG|IMM|262
|||||||000001|04/01/2022|Vente|134000,00|13||RUE|1070|DE CUIRON|1000|BOURG-EN-BRESSE|01|53||CS|321||4|70,02|||||||||1|3|Dépendance||0|0|||
|||||||000001|04/01/2022|Vente|134000,00|13||RUE|1070|DE CUIRON|1000|BOURG-EN-BRESSE|01|53||CS|321||4|70,02|||||||||1|2|Appartement||46|1|||
|||||||000001|04/01/2022|Vente|134000,00|13||RUE|1070|DE CUIRON|1000|BOURG-EN-BRESSE|01|53||CS|321||4|70,02|||||||||1|3|Dépendance||0|0|||
|||||||000001|10/01/2022|Vente|580000,00||||B092|COUTELIEU|1500|AMBRONAY|01|7||ZN|519||||||||||||0||||||S||27
|||||||000001|10/01/2022|Vente|580000,00|45||RUE|0119|DES COMBES|1500|AMBRONAY|01|7||ZN|521||||||||||||0|1|Maison||204|6|S||496
|||||||000001|10/01/2022|Vente|580000,00|45||RUE|0119|DES COMBES|1500|AMBRONAY|01|7||ZN|521||||||||||||0|3|Dépendance||0|0|S||496
|||||||000001|10/01/2022|Vente|580000,00|45||RUE|0119|DES COMBES|1500|AMBRONAY|01|7||ZN|521||||||||||||0|3|Dépendance||0|0|S||496
|||||||000001|10/01/2022|Vente|580000,00|45||RUE|0119|DES COMBES|1500|AMBRONAY|01|7||ZN|521||||||||||||0|3|Dépendance||0|0|S||496
|||||||000001|10/01/2022|Vente|580000,00||||B092|COUTELIEU|1500|AMBRONAY|01|7||ZN|535||||||||||||0||||||P||871
|||||||000001|04/01/2022|Vente|138000,00|2||RUE|0394|JEAN MACE|1500|AMBERIEU-EN-BUGEY|01|4||AN|491||16|5,06|3||8|64,92|||||3|3|Dépendance||0|0|||
|||||||000001|04/01/2022|Vente|138000,00|2||RUE|0394|JEAN MACE|1500|AMBERIEU-EN-BUGEY|01|4||AN|491||8|64,92|||||||||1|3|Dépendance||0|0|||
|||||||000001|04/01/2022|Vente|138000,00|2||RUE|0394|JEAN MACE|1500|AMBERIEU-EN-BUGEY|01|4||AN|491||16|5,06|3||8|64,92|||||3|2|Appartement||67|4|||
|||||||000001|04/01/2022|Vente|138000,00|2||RUE|0394|JEAN MACE|1500|AMBERIEU-EN-BUGEY|01|4||AN|491||12|9,80|||||||||1|3|Dépendance||0|0|||
|||||||000001|04/01/2022|Vente|138000,00|2||RUE|0394|JEAN MACE|1500|AMBERIEU-EN-BUGEY|01|4||AN|491||16|5,06|3||8|64,92|||||3|3|Dépendance||0|0|||
|||||||000001|05/01/2022|Vente|176000,00|464||RUE|0033|DU BREU|1710|THOIRY|01|419||BN|164||10|39,73|||||||||1|2|Appartement||39|2|||
|||||||000001|05/01/2022|Vente|176000,00|464||RUE|0033|DU BREU|1710|THOIRY|01|419||BN|164||45|25,80|||||||||1|3|Dépendance||0|0|||
|||||||000001|06/01/2022|Vente|125000,00|5075|||B016|LA CREUZE|1410|MIJOUX|01|247||B|310||||||||||||0|3|Dépendance||0|0|S||245
|||||||000001|06/01/2022|Vente|125000,00||||B016|LA CREUZE|1410|MIJOUX|01|247||B|960||||||||||||0||||||P||306
|||||||000001|06/01/2022|Vente|6300,00||||B083|PRE VERT|1170|GEX|01|173||AB|225||||||||||||0||||||T||13
|||||||000001|04/01/2022|Vente|100000,00|54||GR|0045|GRANDE RUE|1150|SAULT-BRENAZ|01|396||AD|151||3|62,71|7||||||||2|2|Appartement||65|3|||
|||||||000001|04/01/2022|Vente|100000,00|54||GR|0045|GRANDE RUE|1150|SAULT-BRENAZ|01|396||AD|151||3|62,71|7||||||||2|3|Dépendance||0|0|||
|||||||000001|06/01/2022|Vente|157000,00|21||PL|0260|DU MARCHE|1340|BRESSE VALLONS|01|130||AB|138||||||||||||0|3|Dépendance||0|0|S||212
|||||||000001|06/01/2022|Vente|157000,00|21||PL|0260|DU MARCHE|1340|BRESSE VALLONS|01|130||AB|138||||||||||||0|1|Maison||84|4|S||212
|||||||000001|06/01/2022|Vente|157000,00||||B005|LE BOURG|1340|BRESSE VALLONS|01|130||AB|160||||||||||||0||||||S||6
|||||||000001|04/01/2022|Vente|1000,00||||B059|LA COTE AUX RATS|1470|BENONCES|01|37||ZK|55||||||||||||0||||||P||18340
