Code service sages|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|05/01/2021|Vente|185000,00|5080||CHE|0471|DE VOGELAS|1370|VAL-REVERMONT|01|426|312|ZC|122||||||||||||0|1|Maison||97|5|S||2410
|||||||000001|05/01/2021|Vente|185000,00|5080||CHE|0471|DE VOGELAS|1370|VAL-REVERMONT|01|426|312|ZC|122||||||||||||0|3|Dépendance||0|0|S||2410
|||||||000001|06/01/2021|Vente|10,00||||B043|ROUGEMONT|1290|BEY|01|42||A|204||||||||||||0||||||BT||530
|||||||000001|04/01/2021|Vente|204332,00|7||ALL|0276|DES ECUREUILS|1310|BUELLAS|01|65||B|1325||||||||||||0|1|Maison||88|4|S||866
|||||||000001|06/01/2021|Vente|320000,00|87||RTE|0140|DE CERTINES|1250|MONTAGNAT|01|254||AZ|11||||||||||||0|3|Dépendance||0|0|S||1426
|||||||000001|06/01/2021|Vente|320000,00|87||RTE|0140|DE CERTINES|1250|MONTAGNAT|01|254||AZ|11||||||||||||0|1|Maison||168|5|S||1426
|||||||000002|04/01/2021|Vente|36,30||||B077|COMBET MAILLET|1250|CORVEISSIAT|01|125||C|1691||||||||||||0||||||BT||121
|||||||000001|04/01/2021|Vente|176000,00|210||RUE|0820|GEORGE SAND|1000|SAINT-DENIS-LES-BOURG|01|344||AC|181||39||||||||||1|2|Appartement||71|3|||
|||||||000001|04/01/2021|Vente|176000,00|210||RUE|0820|GEORGE SAND|1000|SAINT-DENIS-LES-BOURG|01|344||AC|181||29||||||||||1|3|Dépendance||0|0|||
|||||||000002|11/01/2021|Vente|400,00||||B085|PRE BROUILLET|1310|MONTCET|01|259||C|459||||||||||||0||||||P||460
|||||||000001|07/01/2021|Vente|4780,00||||B197|FEUSSAT|1340|FOISSIAT|01|163||WA|71||||||||||||0||||||T||6114
|||||||000001|07/01/2021|Vente|4780,00||||B197|FEUSSAT|1340|FOISSIAT|01|163||WA|71||||||||||||0||||||T||6114
|||||||000001|07/01/2021|Vente|4780,00||||B013|BERARDAN|1340|FOISSIAT|01|163||WA|155||||||||||||0||||||P||7105
|||||||000001|07/01/2021|Vente|4780,00||||B129|LES COMBETTES|1340|FOISSIAT|01|163||WB|277||||||||||||0||||||BS||4570
|||||||000002|04/01/2021|Vente|226700,00|173||CHE|0164|DU MOULIN DE POLAIZE|1310|POLLIAT|01|301||AA|289||||||||||||0|1|Maison||96|3|||
|||||||000001|08/01/2021|Vente|185000,00|46||RUE|0161|DES GRANGES BONNET|1960|PERONNAS|01|289||AD|31||||||||||||0|1|Maison||100|4|S||703
|||||||000001|07/01/2021|Vente|114500,00|179||RUE|0110|DE LA MAIRIE|1340|FOISSIAT|01|163||AB|302||||||||||||0|1|Maison||85|2|S||87
|||||||000001|11/01/2021|Vente|84000,00||||B005|SUR LE BIEF|1250|JASSERON|01|195||D|1056||||||||||||0||||||AB||816
|||||||000001|08/01/2021|Vente|145000,00||||B071|CHAMANDRE|1340|FOISSIAT|01|163||WC|214||||||||||||0||||||S||431
|||||||000001|08/01/2021|Vente|145000,00|8||IMP|0255|DE CHAMANDRE|1340|FOISSIAT|01|163||WC|215||||||||||||0|1|Maison||92|1|S||2480
|||||||000001|08/01/2021|Vente|145000,00||||B071|CHAMANDRE|1340|FOISSIAT|01|163||WC|216||||||||||||0||||||P||1280
|||||||000001|08/01/2021|Vente|145000,00||||B071|CHAMANDRE|1340|FOISSIAT|01|163||WC|217||||||||||||0||||||T||1367
|||||||000001|08/01/2021|Vente|145000,00||||B071|CHAMANDRE|1340|FOISSIAT|01|163||WC|218||||||||||||0||||||P||3600
|||||||000001|08/01/2021|Vente|145000,00||||B071|CHAMANDRE|1340|FOISSIAT|01|163||WC|396||||||||||||0||||||P||1503
|||||||000001|07/01/2021|Vente|169600,00|153||CHE|0135|DES MILLETTES|1160|DRUILLAT|01|151||C|517||||||||||||0|1|Maison||98|4|S||303
|||||||000001|08/01/2021|Vente|129150,00|110||RUE|0443|DU PRE PAQUIER|1750|SAINT-LAURENT-SUR-SAONE|01|370||A|680||97||||||||||1|3|Dépendance||0|0|||
|||||||000001|08/01/2021|Vente|129150,00|110||RUE|0443|DU PRE PAQUIER|1750|SAINT-LAURENT-SUR-SAONE|01|370||A|680||5|63,57|||||||||1|2|Appartement||64|3|||
|||||||000001|18/01/2021|Vente|178600,00||||B041|BRUX EST|1570|FEILLENS|01|159||AD|502||||||||||||0||||||P||11
|||||||000001|18/01/2021|Vente|178600,00|745||RTE|0027|DES BAISSES|1570|FEILLENS|01|159||AD|648||||||||||||0|1|Maison||110|4|S||472
|||||||000001|06/01/2021|Vente|11000,00||||B152|MAS DU LAIT|1240|DOMPIERRE-SUR-VEYLE|01|145||A|671||||||||||||0||||||P||65
|||||||000001|06/01/2021|Vente|11000,00||||B207|LES ROSSIERES|1240|DOMPIERRE-SUR-VEYLE|01|145||B|88||||||||||||0||||||T||7060
|||||||000001|06/01/2021|Vente|11000,00||||B194|PRE SAUTAY|1240|DOMPIERRE-SUR-VEYLE|01|145||B|89||||||||||||0||||||P||14300
|||||||000001|06/01/2021|Vente|11000,00||||B146|LES MARTINIERES|1240|DOMPIERRE-SUR-VEYLE|01|145||B|94||||||||||||0||||||T||11075
|||||||000001|06/01/2021|Vente|11000,00||||B047|CHARBONNIERES|1240|DOMPIERRE-SUR-VEYLE|01|145||B|108||||||||||||0||||||BS||7735
|||||||000001|04/01/2021|Vente|165000,00|22||RUE|1650|GEN DELESTRAINT|1000|BOURG-EN-BRESSE|01|53||AM|95||148|66,76|34||||||||2|2|Appartement||67|3|||
|||||||000001|04/01/2021|Vente|165000,00|22||RUE|1650|GEN DELESTRAINT|1000|BOURG-EN-BRESSE|01|53||AM|95||112||||||||||1|3|Dépendance||0|0|||
|||||||000001|06/01/2021|Vente|113960,00|1396||RTE|0117|DES GREFFETS|1440|VIRIAT|01|451||ZD|176||||||||||||0||||||S||383
|||||||000001|06/01/2021|Vente|113960,00|1396||RTE|0117|DES GREFFETS|1440|VIRIAT|01|451||ZD|178||||||||||||0||||||AB||131
|||||||000001|06/01/2021|Vente|113960,00||||B005|LES BAISSES|1440|VIRIAT|01|451||ZD|190||||||||||||0||||||S||5
|||||||000001|06/01/2021|Vente|113960,00||||B005|LES BAISSES|1440|VIRIAT|01|451||ZD|191||||||||||||0||||||AB||401
|||||||000001|06/01/2021|Vente|113960,00||||B005|LES BAISSES|1440|VIRIAT|01|451||ZD|192||||||||||||0||||||AB||14
|||||||000001|06/01/2021|Vente|113960,00||||B005|LES BAISSES|1440|VIRIAT|01|451||ZD|193||||||||||||0||||||AB||275
|||||||000001|06/01/2021|Vente|113960,00||||B005|LES BAISSES|1440|VIRIAT|01|451||ZD|195||||||||||||0||||||T||131
|||||||000001|06/01/2021|Vente|113960,00||||B005|LES BAISSES|1440|VIRIAT|01|451||ZD|199||||||||||||0||||||J||7
|||||||000001|06/01/2021|Vente|113960,00||||B005|LES BAISSES|1440|VIRIAT|01|451||ZD|202||||||||||||0||||||J||361
|||||||000001|04/01/2021|Vente|130000,00|68||LOT|A008|LES JACQUEMINS|1370|SAINT-ETIENNE-DU-BOIS|01|350||B|1506||||||||||||0|1|Maison||51|2|S||314
|||||||000001|04/01/2021|Vente|10000,00|32||AV|0231|DES ANCIENS COMBATTANTS|1000|BOURG-EN-BRESSE|01|53||AE|286||13||||||||||1|3|Dépendance||0|0|||
|||||||000001|04/01/2021|Vente|143000,00|1||CHE|0360|ST ROCH|1960|PERONNAS|01|289||AH|69||124||137|106,91|||||||2|2|Appartement||106|5|||
|||||||000001|04/01/2021|Vente|143000,00|1||CHE|0360|ST ROCH|1960|PERONNAS|01|289||AH|69||416||||||||||1|3|Dépendance||0|0|||
|||||||000001|05/01/2021|Vente en l'état futur d'achèvement|339000,00||||B025|LE VILLAGE|1000|SAINT-DENIS-LES-BOURG|01|344||AO|286||13||||||||||1|2|Appartement||115|4|||
|||||||000001|05/01/2021|Vente en l'état futur d'achèvement|339000,00||||B025|LE VILLAGE|1000|SAINT-DENIS-LES-BOURG|01|344||AO|286||23||||||||||1|3|Dépendance||0|0|||
|||||||000001|05/01/2021|Vente|57000,00|5||RUE|3560|DU STAND|1000|BOURG-EN-BRESSE|01|53||AZ|378||128||||||||||1|3|Dépendance||0|0|||
|||||||000001|05/01/2021|Vente|57000,00|5||RUE|3560|DU STAND|1000|BOURG-EN-BRESSE|01|53||AZ|378||28|37,56|||||||||1|2|Appartement||37|1|||
|||||||000001|07/01/2021|Vente|258000,00|183||RUE|0003|ANDRE PAGNEUX|1960|PERONNAS|01|289||AC|176||||||||||||0|1|Maison||117|4|AG||551
|||||||000001|07/01/2021|Vente|258000,00|183||RUE|0003|ANDRE PAGNEUX|1960|PERONNAS|01|289||AC|176||||||||||||0|1|Maison||117|4|S||840
|||||||000001|07/01/2021|Vente|72000,00|37||AV|0225|AMEDEE MERCIER|1000|BOURG-EN-BRESSE|01|53||BE|195||385||415|64,14|||||||2|2|Appartement||61|3|||
|||||||000001|07/01/2021|Vente|72000,00|37||AV|0225|AMEDEE MERCIER|1000|BOURG-EN-BRESSE|01|53||BE|195||591||||||||||1|3|Dépendance||0|0|||
|||||||000001|07/01/2021|Vente|72000,00|37||AV|0225|AMEDEE MERCIER|1000|BOURG-EN-BRESSE|01|53||BE|195||252||277||||||||2|2|Appartement||61|3|||
|||||||000001|07/01/2021|Vente|72000,00|37||AV|0225|AMEDEE MERCIER|1000|BOURG-EN-BRESSE|01|53||BE|195||567||||||||||1|3|Dépendance||0|0|||
|||||||000001|11/01/2021|Vente|150000,00|870||RUE|0150|DE MAJORNAS|1440|VIRIAT|01|451||BI|213||||||||||||0|1|Maison||100|5|S||385
|||||||000001|13/01/2021|Vente|107000,00|29||RTE|0125|DE PALORDET|1310|MONTRACOL|01|264||A|831||||||||||||0|1|Maison||82|3|S||535
|||||||000001|12/01/2021|Vente|184000,00|5167|||B058|VILLAGE|1270|PIRAJOUX|01|296||ZL|238||||||||||||0|1|Maison||98|5|S||861
|||||||000001|12/01/2021|Vente en l'état futur d'achèvement|196000,00||||B025|LE VILLAGE|1000|SAINT-DENIS-LES-BOURG|01|344||AO|286||19||||||||||1|3|Dépendance||0|0|||
|||||||000001|12/01/2021|Vente en l'état futur d'achèvement|196000,00||||B025|LE VILLAGE|1000|SAINT-DENIS-LES-BOURG|01|344||AO|286||10||||||||||1|2|Appartement||70|3|||
|||||||000001|13/01/2021|Vente|267800,00|505||CHE|0070|DE LA BERGADERIE|1370|SAINT-ETIENNE-DU-BOIS|01|350||C|1248||||||||||||0|1|Maison||121|4|AG||700
|||||||000001|13/01/2021|Vente|267800,00|505||CHE|0070|DE LA BERGADERIE|1370|SAINT-ETIENNE-DU-BOIS|01|350||C|1248||||||||||||0|3|Dépendance||0|0|S||1567
|||||||000001|13/01/2021|Vente|267800,00|505||CHE|0070|DE LA BERGADERIE|1370|SAINT-ETIENNE-DU-BOIS|01|350||C|1248||||||||||||0|1|Maison||121|4|S||1567
|||||||000001|13/01/2021|Vente|267800,00|505||CHE|0070|DE LA BERGADERIE|1370|SAINT-ETIENNE-DU-BOIS|01|350||C|1248||||||||||||0|3|Dépendance||0|0|AG||700
|||||||000001|14/01/2021|Vente|53000,00||||B018|LES BLANCS D EN HAUT|1851|MARBOZ|01|232||ZE|180||||||||||||0||||||AB||607
|||||||000001|13/01/2021|Vente|39000,00||||B169|TERRE DE RIPPE|1270|COLIGNY|01|108||ZD|71||||||||||||0||||||AB||2030
|||||||000001|13/01/2021|Vente|221831,00|3||LOT|A088|LE CLOS DU BIOLAY|1370|SAINT-ETIENNE-DU-BOIS|01|350||AA|38||||||||||||0|1|Maison||104|4|S||713
|||||||000001|11/01/2021|Vente|423640,00|85||RUE|0060|FRATEL|1250|JASSERON|01|195||AD|50||||||||||||0|1|Maison||117|4|S||767
|||||||000001|11/01/2021|Vente|423640,00|85||RUE|0060|FRATEL|1250|JASSERON|01|195||AD|50||||||||||||0|3|Dépendance||0|0|S||767
|||||||000001|11/01/2021|Vente|423640,00|85||RUE|0060|FRATEL|1250|JASSERON|01|195||AD|50||||||||||||0|1|Maison||119|4|S||767
|||||||000001|11/01/2021|Vente|423640,00||||B156|LE VILLAGE|1250|JASSERON|01|195||AD|335||||||||||||0||||||S||29
|||||||000001|06/01/2021|Vente|158000,00||||B053|ECAILLER|1250|HAUTECOURT-ROMANECHE|01|184||AO|92||||||||||||0||||||P||1018
